ID,LD50,Smiles
118,0.016,CCCCN(CCCC)SN(C)C(=O)Oc1cccc2CC(C)(C)Oc12
119,2.15,CC1=C(SCCO1)C(=O)Nc2ccccc2
120,2.25,O=C2N(N=C(C)N2C(F)F)C1=CC(CC(Cl)C(OCC)=O)=C(Cl)C=C1F
121,2.25,CC1=C(C(=CC(=C1)Cl)C(=O)NC)NC(=O)C2=CC(=NN2C3=C(C=CC=N3)Cl)Br
122,2,Cc3cc(Cl)cc2c3N=C1C(Cl)=CC=CN1C2=O
123,2.25,Cc4cc(Cl)cc3c4N=C(c2cc(Br)nn2c1ncccc1Cl)N(C)C3=O
124,2,O=C(NC)c1cc(Br)nn1
125,2,Brc1cc(nn1)C2=Nc3c(C)cc(Cl)cc3C(=O)N2C
126,2,NC1=C(Cl)C(=O)N(N=C1)c2ccccc2
127,2,Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl
128,0.122,S=P(OC1=NC(=C(C=C1Cl)Cl)Cl)(OCC)OCC
129,0.00841,S=P(OC1=NC(=C(C=C1Cl)Cl)Cl)(OCC)OCC
130,5,Cc2nc(NC(=O)NS(=O)(=O)c1ccccc1Cl)nc(OC)n2
131,2,CC1=CC(=CC(=C1)C(=O)N(C(C)(C)C)NC(=O)C2=C(C3=C(C=C2)OCCC3)C)C
132,2,Cc1cc(cc(C)c1)C(=O)N(NC(=O)c3ccc2OCCC(O)c2c3C)C(C)(C)C
133,1.64,CC/C(=N\OC\C=C\Cl)C1=C(O)CC(CC(C)SCC)CC1=O
134,1.363,O=C(OCC#C)[C@H](OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C
135,3,Clc3ccccc3c1nnc(nn1)c2ccccc2Cl
136,2.51,O=C1N(CC(C=CC=C2)=C2Cl)OCC(C)1C
137,1.183,O.[Cu].[Cu]
138,0.223,O.O.[Cu]
139,0.35,NC#N
140,2,O=S(N1C(C#N)=NC(Cl)=C1C2=CC=C(C)C=C2)(N(C)C)=O
141,0.324,N#Cc2nc(c1ccc(C)cc1)c(Cl)n2
142,2,CC(C1CC1)NC(=O)C2=CC(=CC(=C2NC(=O)C3=CC(=NN3C4=C(C=CC=N4)Cl)Br)Br)Cl
143,2,CCC/C(=N\OCC)C=1C(=O)CC(CC=1O)C2CCCSC2
144,2,CC(C)(C)C1=CC=C(C=C1)C(C#N)(C(=O)C2=CC=CC=C2C(F)(F)F)C(=O)OCCOC
145,2,CCNC(=O)NC(=O)C(=NOC)C#N
