ID,LD50,Smiles,,,,,,,,Predicated values from model,,,,Error (%)
402,4,OP(O)O.[K+].[K+],,,,,,,,0.0246255,,,,16143.32501
403,0.649,C(#N)[S-].[K+],,,,,,,,0.0246255,,,,2535.479483
404,0.662,CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2,,,,,,,,1.59499,,,,-58.49503759
405,1.842,CCCOC(=O)NCCC[NH+](C)C.[Cl-],,,,,,,,3.34148,,,,-44.87472617
406,0.196,CCC(=O)Nc1ccc(Cl)c(Cl)c1,,,,,,,,3.34148,,,,-94.13433568
407,1.5,CCC(=O)Nc1ccc(Cl)c(Cl)c1,,,,,,,,-5.48298,,,,-127.3573859
408,2,C/C(C)=N\OCCOC(=O)[C@@H](C)Oc1ccc(cc1)Oc2cnc3cc(Cl)ccc3n2,,,,,,,,1.42294,,,,40.55406412
409,4.64,CC(C)(C)c1ccc(cc1)OC2CCCCC2OS(=O)OCC#C,,,,,,,,1.42294,,,,226.0854288
410,1.65,CC(C)(C)c1ccc(cc1)OC2CCCCC2OS(=O)OCC#C,,,,,,,,-0.767121,,,,-315.0899271
411,5,CC(CNC(=S)[S-])NC(=S)[S-].[Zn+2],,,,,,,,-0.323087,,,,-1647.570778
412,1.916,CCC1=CC=CC(=C1N(COC(C)C)C(=O)CCl)C,,,,,,,,-0.512035,,,,-474.1931704
413,1.562,CCC1=CC=CC(=C1N(COC(C)C)C(=O)CCl)C,,,,,,,,0.822603,,,,89.88503567
414,5,O=C(NS(=O)(=O)c1ccccc1C(=O)OC)N2N=C(OCC(C)O)N(C)C2=O,,,,,,,,0.699815,,,,614.4745397
415,2,CCCOC1=NN(C(=O)N1C)C(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC,,,,,,,,-0.527075,,,,-479.4526396
416,6.578,CC(C)(C#C)NC(=O)C1=CC(=CC(=C1)Cl)Cl,,,,,,,,-0.60689,,,,-1183.886701
417,2.25,CCCN1C(=O)C2=C(C=CC(=C2)I)N=C1OCCC,,,,,,,,-0.726426,,,,-409.7356097
418,2.25,CCCN(CCC)C(=O)SCc1ccccc1,,,,,,,,-0.700812,,,,-421.0561463
419,1.3,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2CCC(F)(F)F,,,,,,,,0.0727977,,,,1685.770704
420,2,C1CC1(C(CC2=CC=CC=C2Cl)(CN3C(=S)N=CN3)O)Cl,,,,,,,,2.42868,,,,-17.65074032
421,3.776,CC(CC1=C(C=C(C=C1Cl)Cl)Cl)N(C(=O)C2=CN(N=C2C(F)F)C)OC,,,,,,,,4.648,,,,-18.76075731
422,2,CC1=NNC(=O)N(C1)N=CC2=CN=CC=C2,,,,,,,,0.824044,,,,142.7054866
423,2,CCOC(=O)COC1=C(C=C(C(=C1)C2=NN(C(=C2Cl)OC(F)F)C)F)Cl,,,,,,,,-0.0891765,,,,-2342.743324
424,1.15148,CC=CCC1=C(C(CC1=O)OC(=O)C2C(C2(C)C)C=C(C)C)C,,,,,,,,1.16115,,,,-0.832795074
425,2.25,O=C1N(C(C)(C)C)N=CC(SCC2=CC=C(C(C)(C)C)C=C2)=C1Cl,,,,,,,,0.703859,,,,219.6662968
426,1.42,C1=CC=C(C=C1)C2=NN=C(C=C2O)Cl,,,,,,,,4.3605,,,,-67.43492719
427,2.25,C1=CC(=NC(=C1)OCCCOC2=C(C=C(C=C2Cl)OCC=C(Cl)Cl)Cl)C(F)(F)F,,,,,,,,4.3605,,,,-48.4004128
428,1.269,CCCCCCCCSC(=O)OC1=CC(=NN=C1C2=CC=CC=C2)Cl,,,,,,,,4.3605,,,,-70.89783282
429,2,CC1=NC(NC2=CC=CC=C2)=NC(C)=C1,,,,,,,,-1.07077,,,,-286.781475
430,2,CC1=CC(=C(C(=C1C(=O)C2=C(C(=CN=C2OC)Cl)C)OC)OC)OC,,,,,,,,2.61355,,,,-23.47573224
431,2,CC1=CC(=C(C(=C1C(=O)C2=C(C(=CN=C2OC)Cl)C)OC)OC)OC,,,,,,,,2.61355,,,,-23.47573224
432,2,CC1=CC(=C(C(=C1C(=O)C2=C(C(=CN=C2OC)Cl)C)OC)OC)OC,,,,,,,,2.41907,,,,-17.32359957
433,1.906,CC(COC1=CC=C(C=C1)OC2=CC=CC=C2)OC3=CC=CC=N3,,,,,,,,0.0665398,,,,2764.45105
434,2,COC1=CC(=NC2=NC(=NN12)NS(=O)(=O)C3=C(C=CN=C3OC)C(F)(F)F)OC,,,,,,,,0.226356,,,,783.5639435
435,0.39,COC1=CC(=NC2=NC(=NN12)NS(=O)(=O)C3=C(C=CN=C3OC)C(F)(F)F)OC,,,,,,,,0.226356,,,,72.29496899
436,2,O=C(O)C1=C(Cl)C=CC2=C1N=CC(C)=C2,,,,,,,,2.91044,,,,-31.28186803
437,2,NC1=C(Cl)C(=O)c2ccccc2C1=O,,,,,,,,-0.42373,,,,-571.9986784
438,2,CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O,,,,,,,,-1.8908,,,,-205.7753332
439,2.551,CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O,,,,,,,,3.61155,,,,-29.36550788
440,2,CCOC(=O)C(C)OC1=CC=C(C=C1)OC2=CN=C3C=C(C=CC3=N2)Cl,,,,,,,,0.883812,,,,126.2924694
441,2,CC1=CC(=C2C(=C1)C(=O)C3=CC(=CC(=C3C2=O)O)O)O,,,,,,,,0.883812,,,,126.2924694
442,2.25,O=S(C1=NC=CC=C1S(CC)(=O)=O)(NC(NC2=NC(OC)=CC(OC)=N2)=O)=O,,,,,,,,-0.080518,,,,-2894.40622
443,2.25,CC1=C(SC(=C1C(=O)NCC=C)[Si](C)(C)C)C,,,,,,,,-0.080518,,,,-2894.40622
444,1.439,O=C(O)C2=NN(c1ccc(Cl)cc1)c3cccc(OCCOC)c3C2=O,,,,,,,,2.00756,,,,-28.32094682
445,2,O=C(O)C2=NN(c1ccc(Cl)cc1)c3cccc(OCCOC)c3C2=O,,,,,,,,2.00756,,,,-0.376576541
446,0.933,C1=CC=C2C(=C1)C=CC=C2CC(=O)[O-].[Na+],,,,,,,,0.924976,,,,0.867481967
447,10,C1=CC=C2C(=C1)C=CC=C2CC(=O)[O-].[Na+],,,,,,,,0.516718,,,,1835.29159
448,2.067,COC1=C(C=C(C=C1)[N+](=O)[O-])[O-].[Na+],,,,,,,,1.22121,,,,69.25835851
449,5,COC1=C(C=C(C=C1)[N+](=O)[O-])[O-].[Na+],,,,,,,,1.85869,,,,169.006666
450,0.008075,C(=O)(O)[O-].[Na+],,,,,,,,-3.23857,,,,-100.2493384
451,1.046,C1=CC=C(C(=C1)[N+](=O)[O-])[O-].[Na+],,,,,,,,2.10545,,,,-50.31940915
452,1.67,C1=CC(=CC=C1[N+](=O)[O-])[O-].[Na+],,,,,,,,0.00539315,,,,30865.20586
453,2,CC1=CCC(CC1=O)C(=C)C,,,,,,,,1.40263,,,,42.58927871
454,2.25,CC[C@@H]1CCC[C@H]([C@@H](C(=O)C2=C[C@H]3[C@@H]([C@H]2CC(=O)O1)CC[C@@H]4[C@@H]3C[C@H](C4)O[C@@H]5[C@H]([C@H]([C@@H]([C@H](O5)C)OC)OCC)OC)C)O[C@@H]6CC[C@H]([C@@H](O6)C)N(C)C,,,,,,,,0.578352,,,,289.0364346
455,2,O=C2OC1(C(OC(C(CC)(C)C)=O)=C2C3=CC(Cl)=CC(Cl)=C3)CCCCC1,,,,,,,,0.0925569,,,,2060.832958
456,2.5,O=C(CC(C)(C)C)OC1=C(C3=C(C)C=C(C)C=C3C)C(OC21CCCC2)=O,,,,,,,,-0.599261,,,,-517.180494
457,2,Cc1cc(c(C)cc1)C3(O)C(=O)N[C@]2(CC[C@H](CC2)O)C3=O,,,,,,,,3.04292,,,,-34.2736582
458,2,Cc1cc(c(C)cc1)C3(O)C(=O)N[C@@]2(CC[C@@H](CC2)O)C3O,,,,,,,,1.37406,,,,45.5540515
459,2,Cc1cc(c(C)cc1)C3(O)C(=O)N[C@]2(CC[C@H](CC2)OC)C3=O,,,,,,,,2.0213,,,,-1.053777272
460,2,Cc3cc(C2C(=O)N[C@@]1(CC[C@@H](CC1)OC)C2O)c(C)cc3,,,,,,,,1.22627,,,,63.09621861
461,2.25,CCCC/C=C\CCCCCCCCC/C=C/COC(=O)C,,,,,,,,1.22627,,,,83.48324594
462,2.05,C/C=C/C=C/CCCCCCCO,,,,,,,,-1.67424,,,,-222.4436162
463,2.25,CCCC/C=C\CCCCCCCCCC=O,,,,,,,,-0.664853,,,,-438.4206734
464,1.35,O=C2CCCC(=O)C2C(=O)c1ccc(cc1Cl)S(C)(=O)=O,,,,,,,,-0.298833,,,,-551.757336
465,2,O=C2CCCC(=O)C2C(=O)c1ccc(cc1Cl)S(C)(=O)=O,,,,,,,,-1.60536,,,,-224.5826481
466,2.25,CCS(=O)(=O)C1=C(N2C=CC=CC2=N1)S(=O)(=O)NC(=O)NC3=NC(=CC(=N3)OC)OC,,,,,,,,1.56406,,,,43.8563738
467,0.566,FC(F)(F)c1ccc(cn1)C(C)S(C)(=O)=O,,,,,,,,-4.41084,,,,-112.8320229
468,2,CC(C1=CN=C(C=C1)C(F)(F)F)S(=N)(=O)C,,,,,,,,-4.41084,,,,-145.3428372
469,2.25,CC(C1=CN=C(C=C1)C(F)(F)F)S(=NC(=O)N)(=O)C,,,,,,,,-1.28421,,,,-275.2049898
470,1.038,CC(C1=CN=C(C=C1)C(F)(F)F)O,,,,,,,,-1.28421,,,,-180.827902
471,1.682,CC1(C2CCC(O1)(CC2)C)C,,,,,,,,1.79829,,,,-6.46669892
472,2,CC1(C2CCC(O1)(CC2)C)C,,,,,,,,4.75156,,,,-57.90856056
473,1.988,OC(C(C)(C)C)(CN2N=CN=C2)CCC1=CC=C(Cl)C=C1,,,,,,,,4.75156,,,,-58.16110919
474,2,OC(C(C)(C)C)(CN2N=CN=C2)CCC1=CC=C(Cl)C=C1,,,,,,,,0.456182,,,,338.4215072
475,2.15,O=C(N(C(C)(C)C)NC(C2=CC=C(CC)C=C2)=O)C1=CC(C)=CC(C)=C1,,,,,,,,0.456182,,,,371.3031202
476,2,O=C(NCC2=CC=C(C(C)(C)C)C=C2)C1=C(Cl)C(CC)=NN1C,,,,,,,,0.588979,,,,239.5706808
477,1.458,O=C(NCC2=CC=C(C(C)(C)C)C=C2)C1=C(Cl)C(CC)=NN1C,,,,,,,,0.588979,,,,147.5470263
478,2.25,O=C(NC(NC2=C(F)C(Cl)=C(F)C(Cl)=C2)=O)C1=C(F)C=CC=C1F,,,,,,,,0.610913,,,,268.3012147
479,2,O=C(NC(NC2=C(F)C(Cl)=C(F)C(Cl)=C2)=O)C1=C(F)C=CC=C1F,,,,,,,,1.48838,,,,34.37428614
480,0.267,O=C(OCC2=C(F)C(F)=C(C)C(F)=C2F)C1C(C)(C)C1/C=C(Cl)/C(F)(F)F,,,,,,,,1.48838,,,,-82.0610328
481,0.344,O=C(OCC2=C(F)C(F)=C(C)C(F)=C2F)C1C(C)(C)C1/C=C(Cl)/C(F)(F)F,,,,,,,,1.48838,,,,-76.88762278
482,2.25,CS(=O)(=O)C1=C(C(=C(C=C1)C(=O)C2C(=O)CCCC2=O)Cl)COCC(F)(F)F,,,,,,,,3.49433,,,,-35.60997387
483,1.236,CCNc1nc(Cl)nc(NC(C)(C)C)n1,,,,,,,,5.04773,,,,-75.51374578
484,3,CCNc1nc(Cl)nc(NC(C)(C)C)n1,,,,,,,,5.04773,,,,-40.56734413
485,2,CCNc1nc(Cl)nc(NC(C)(C)C)n1,,,,,,,,0.0196027,,,,10102.67616
486,1.53,CC(=C)c1ccc(C)cc1,,,,,,,,0.326164,,,,369.0891699
487,0.132,C1=CC(=C(C=C1Cl)Cl)C(CN2C=NC=N2)COC(C(F)F)(F)F,,,,,,,,4.04603,,,,-96.73754273
488,0.063,C1=CC(=C(C=C1Cl)Cl)C(CN2C=NC=N2)COC(C(F)F)(F)F,,,,,,,,0.340419,,,,-81.4933949
489,2.25,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,,,,,,,,16.7326,,,,-86.55319556
490,2,S(C1C(C(=O)OC([H])([H])[H])=C([H])SC=1C([H])([H])[H])(N([H])C(N1C(N(C([H])([H])[H])C(=N1)OC([H])([H])[H])=O)=O)(=O)=O,,,,,,,,0.252296,,,,692.7196626
491,2.51,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=C(SC=C2)C(=O)OC,,,,,,,,0.854212,,,,193.8380636
492,2.023,CC(=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC)SC,,,,,,,,0.854212,,,,136.8264553
493,4.64,COC(=O)NC(=S)NC1=CC=CC=C1NC(=S)NC(=O)OC,,,,,,,,-0.285636,,,,-1724.445098
494,0.93,CN(C)C(=S)SSC(=S)N(C)C,,,,,,,,1.85141,,,,-49.76801465
495,0.98,CC1=CC(=C(C=C1)C(C)C)O,,,,,,,,0.574114,,,,70.69780566
496,10,CC1=CC(=C(C=C1)C(C)C)O,,,,,,,,1.58744,,,,529.9450688
497,5,S=P(OC)(OC)OC1=C(Cl)C=C(C)C=C1Cl,,,,,,,,2.2199,,,,125.235371
498,2,CC1=CC=C(C=C1)N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C,,,,,,,,5.05271,,,,-60.41728102
499,2,CC1=C(C=CC(=C1C2=NOCC2)S(=O)(=O)C)C(=O)C3=CNN(C3=O)C,,,,,,,,4.44255,,,,-54.98081057
500,2.024,CCC(=C1C(=O)CC(CC1=O)C2=C(C=C(C=C2C)C)C)NOCC,,,,,,,,0.218,,,,828.440367
501,1.56,CC(C)N(C(C)C)C(=O)SCC(=C(Cl)Cl)Cl,,,,,,,,-1.05738,,,,-247.534472
502,2,CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl,,,,,,,,0.149564,,,,1237.220187
503,2,OC(C(C)(C)C)C(N2N=CN=C2)OC1=CC=C(Cl)C=C1,,,,,,,,-0.283185,,,,-806.2520967
504,2.15,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2OCCCl,,,,,,,,-1.37682,,,,-256.1569414
505,1,CC1=NC(=NC(=N1)OC)N,,,,,,,,-0.781444,,,,-227.9682229
506,0.09,Clc1ccc2nc(n[n+]([O-])c2c1)n3ccnc3,,,,,,,,-0.460054,,,,-119.5629209
507,0.616,[OH-].[OH-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Cu+2].[Cu+2].[Cu+2],,,,,,,,-0.115057,,,,-635.3868083
508,2.25,CC1=NC(=NC(=N1)OC)N(C)C(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC,,,,,,,,-0.529119,,,,-525.235155
509,0.212,COP(=O)(C(C(Cl)(Cl)Cl)O)OC,,,,,,,,1.06065,,,,-80.01225664
510,0.062,[O-][N+](=O)C(Cl)(Cl)Cl,,,,,,,,-0.58648,,,,-110.5715455
511,1.698,Clc1cc(Cl)c(Cl)nc1OCC(=O)O,,,,,,,,0.521419,,,,225.6498133
512,0.735,Clc1cc(Cl)c(Cl)nc1OCC(=O)OCCOCCCC,,,,,,,,0.521419,,,,40.96149162
513,2.176,CC1=C2C(=CC=C1)SC3=NN=CN23,,,,,,,,2.14465,,,,1.46177698
514,2,CC(C1=CC(C(F)(F)F)=CC=C1)=NOCC2=C(C(C(OC)=O)=NOC)C=CC=C2,,,,,,,,-0.873728,,,,-328.9041899
515,2,FC(F)(F)c1cccc(c1)\C(=N\OCc2ccccc2C(=N\OC)/C(=O)O)C(=O)O,,,,,,,,-0.873728,,,,-328.9041899
516,2,FC(F)(F)c1cccc(c1)/C(=N\OCc2ccccc2C(=N\OC)/C(=O)O)C(=O)O,,,,,,,,-1.56746,,,,-227.5949626
517,2.51,CCCOCC(=NC1=C(C=C(C=C1)Cl)C(F)(F)F)N2C=CN=C2,,,,,,,,7.79282,,,,-67.7908639
518,0.561,O=C(C1=CC=CC=C1Cl)NC(NC(C=C2)=CC=C2OC(F)(F)F)=O,,,,,,,,-1.38721,,,,-140.4408849
519,2.123,O=C(C1=CC=CC=C1Cl)NC(NC(C=C2)=CC=C2OC(F)(F)F)=O,,,,,,,,-1.38721,,,,-253.040996
520,2,C(=O)(C(F)(F)F)O,,,,,,,,2.04538,,,,-2.218658636
521,2.25,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],,,,,,,,-0.250799,,,,-997.1327637
522,2.25,CC1=CC=CC(=C1S(=O)(=O)NC(=O)NC2=NC(=NC(=N2)OCC(F)(F)F)N(C)C)C(=O)OC,,,,,,,,7.10011,,,,-68.31035012
523,2.25,CC1=CC=CC(=C1S(=O)(=O)NC(=O)NC2=NC(=NC(=N2)OCC(F)(F)F)N(C)C)C(=O)OC,,,,,,,,4.61573,,,,-51.25364785
524,2,CCOC(=O)C1CC(=O)C(=C(C2CC2)O)C(=O)C1,,,,,,,,4.61573,,,,-56.6699092
525,2,CC1(CCC(=CC2=CC=C(C=C2)Cl)C1(CN3C=NC=N3)O)C,,,,,,,,3.66896,,,,-45.48863983
526,14.3,C(=O)(N)N,,,,,,,,3.01493,,,,374.3062028
527,2.25,CC(C)[C@@H](C(=O)NC(CC(=O)OC)C1=CC=C(C=C1)Cl)NC(=O)OC(C)C,,,,,,,,1.51064,,,,48.94349415
528,2,CC(C)[C@@H](C(=O)NC(CC(=O)OC)C1=CC=C(C=C1)Cl)NC(=O)OC(C)C,,,,,,,,-0.417822,,,,-578.6727362
529,2,Clc1ccc(cc1)C(NC(=O)[C@@H](NC(=O)OC(C)C)C(C)C)CC(=O)O,,,,,,,,1.85869,,,,7.602666394
530,2,CCC(C)(C(=O)CCl)NC(=O)C1=CC(=C(C(=C1)Cl)C)Cl,,,,,,,,,,,,
531,0.035,CC1([C@@H]([C@@H]1C(=O)O[C@@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,,,,,,,,,,,,
532,0.0586,CC1(C(C1C(=O)OC(C#N)c2ccc(c(c2)Oc3ccccc3)F)C=C(Cl)Cl)C,,,,,,,,,,,,
533,2,O=C1C[C@H](C\C=C1\C)C(C)=C,,,,,,,,,,,,
