ID,LD50,Smiles,,,,,,,,Predicated values from model,,,,Error (%)
120,2.25,O=C2N(N=C(C)N2C(F)F)C1=CC(CC(Cl)C(OCC)=O)=C(Cl)C=C1F,,,,,,,,-0.0651676,,,,-3552.635972
121,2.25,CC1=C(C(=CC(=C1)Cl)C(=O)NC)NC(=O)C2=CC(=NN2C3=C(C=CC=N3)Cl)Br,,,,,,,,0.659755,,,,241.0356875
122,2,Cc3cc(Cl)cc2c3N=C1C(Cl)=CC=CN1C2=O,,,,,,,,0.08114,,,,2364.875524
123,2.25,Cc4cc(Cl)cc3c4N=C(c2cc(Br)nn2c1ncccc1Cl)N(C)C3=O,,,,,,,,-0.230905,,,,-1074.426712
124,2,O=C(NC)c1cc(Br)nn1,,,,,,,,1.62976,,,,22.71745533
125,2,Brc1cc(nn1)C2=Nc3c(C)cc(Cl)cc3C(=O)N2C,,,,,,,,0.0220428,,,,8973.257481
126,2,NC1=C(Cl)C(=O)N(N=C1)c2ccccc2,,,,,,,,0.0839864,,,,2281.337931
127,2,Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl,,,,,,,,0.0839865,,,,2281.335096
128,0.122,S=P(OC1=NC(=C(C=C1Cl)Cl)Cl)(OCC)OCC,,,,,,,,-0.338784,,,,-136.0111457
129,0.00841,S=P(OC1=NC(=C(C=C1Cl)Cl)Cl)(OCC)OCC,,,,,,,,3.31725,,,,-99.74647675
130,5,Cc2nc(NC(=O)NS(=O)(=O)c1ccccc1Cl)nc(OC)n2,,,,,,,,5.00432,,,,-0.086325415
131,2,CC1=CC(=CC(=C1)C(=O)N(C(C)(C)C)NC(=O)C2=C(C3=C(C=C2)OCCC3)C)C,,,,,,,,1.51887,,,,31.6768387
132,2,Cc1cc(cc(C)c1)C(=O)N(NC(=O)c3ccc2OCCC(O)c2c3C)C(C)(C)C,,,,,,,,0.239268,,,,735.8827758
133,1.64,CC/C(=N\OC\C=C\Cl)C1=C(O)CC(CC(C)SCC)CC1=O,,,,,,,,1.62454,,,,0.951654007
134,1.363,O=C(OCC#C)[C@H](OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C,,,,,,,,2.60361,,,,-47.64960958
135,3,Clc3ccccc3c1nnc(nn1)c2ccccc2Cl,,,,,,,,3.72461,,,,-19.45465431
136,2.51,O=C1N(CC(C=CC=C2)=C2Cl)OCC(C)1C,,,,,,,,3.2369,,,,-22.45667151
137,1.183,O.[Cu].[Cu],,,,,,,,-8.53118,,,,-113.8667804
138,0.223,O.O.[Cu],,,,,,,,0.534093,,,,-58.24697197
139,0.35,NC#N,,,,,,,,-0.51543,,,,-167.9044681
140,2,O=S(N1C(C#N)=NC(Cl)=C1C2=CC=C(C)C=C2)(N(C)C)=O,,,,,,,,0.490488,,,,307.7571724
141,0.324,N#Cc2nc(c1ccc(C)cc1)c(Cl)n2,,,,,,,,-0.394905,,,,-182.0450488
142,2,CC(C1CC1)NC(=O)C2=CC(=CC(=C2NC(=O)C3=CC(=NN3C4=C(C=CC=N4)Cl)Br)Br)Cl,,,,,,,,-0.906161,,,,-320.7113305
143,2,CCC/C(=N\OCC)C=1C(=O)CC(CC=1O)C2CCCSC2,,,,,,,,-0.906161,,,,-320.7113305
144,2,CC(C)(C)C1=CC=C(C=C1)C(C#N)(C(=O)C2=CC=CC=C2C(F)(F)F)C(=O)OCCOC,,,,,,,,1.51064,,,,32.39421702
145,2,CCNC(=O)NC(=O)C(=NOC)C#N,,,,,,,,4.31261,,,,-53.62437132
146,2,CCNC(=O)NC(=O)C(=NOC)C#N,,,,,,,,0.623912,,,,220.5580274
147,10.248,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,,,,,,,,0.623912,,,,1542.539332
148,0.094,ClC1=CC=C(C(CN2C=NC=N2)(C(C)C3CC3)O)C=C1,,,,,,,,-8.54525,,,,-101.1000263
149,0.5,CC1=NC(NC3=CC=CC=C3)=NC(C2CC2)=C1,,,,,,,,0.464336,,,,7.68064505
150,2,CC1=NC(NC3=CC=CC=C3)=NC(C2CC2)=C1,,,,,,,,0.32239,,,,520.3666367
151,1.785,Nc2nc(N)nc(NC1CC1)n2,,,,,,,,0.32239,,,,453.6772232
152,0.1237,ClC1=CC(=CN(C)C1=O)C(F)(F)F,,,,,,,,2.55716,,,,-95.16260226
153,0.415,CN1CSC(=S)N(C)C1,,,,,,,,-0.516877,,,,-180.2898949
154,0.498,CN1CSC(=S)N(C)C1,,,,,,,,0.81242,,,,-38.70165678
155,5,CCCCCCC=CC(=O)C,,,,,,,,0.849418,,,,488.6383383
156,0.196,CC[N+](CC)(CC1=CC=CC=C1)CC(=O)NC2=C(C=CC=C2C)C.C1=CC=C(C=C1)C(=O)[O-],,,,,,,,0.849418,,,,-76.92537714
157,2,CCOC(=O)NC1=CC(=CC=C1)OC(=O)NC2=CC=CC=C2,,,,,,,,1.17855,,,,69.70005515
158,0.00144,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,,,,,,,,1.17855,,,,-99.87781596
159,0.0039,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,,,,,,,,16.1004,,,,-99.975777
160,0.216,COC1=C(C=CC(=C1C(=O)O)Cl)Cl,,,,,,,,0.552046,,,,-60.87282582
161,1.15,COC1=C(C=CC(=C1C(=O)O)Cl)Cl,,,,,,,,-0.977811,,,,-217.6096403
162,0.698,Clc1cccc(Cl)c1C#N,,,,,,,,0.506674,,,,37.76116398
163,1.01,CCCCC(CC)COC(=O)[C@@H](C)OC1=C(C=C(C=C1)Cl)Cl,,,,,,,,0.506674,,,,99.33922009
164,0.08,COP(=O)(OC)OC=C(Cl)Cl,,,,,,,,1.6466,,,,-95.1415037
165,2.25,CC(C(=O)OC)OC1=CC=C(C=C1)OC2=C(C=C(C=C2)Cl)Cl,,,,,,,,1.6466,,,,36.64520831
166,2.029,CC(C(=O)OC)OC1=CC=C(C=C1)OC2=C(C=C(C=C2)Cl)Cl,,,,,,,,1.6466,,,,23.22361229
167,0.9,Nc1c(Cl)cc(cc1Cl)[N+](=O)[O-],,,,,,,,-1.27811,,,,-170.4164743
168,0.994,Nc1c(Cl)cc(cc1Cl)[N+](=O)[O-],,,,,,,,-1.27811,,,,-177.7710839
169,3.2,Nc1c(Cl)cc(cc1Cl)[N+](=O)[O-],,,,,,,,-8.40843,,,,-138.0570451
170,0.511,[OH-].[OH-].[OH-].[Cl-].[Cu+2].[Cu+2],,,,,,,,2.51192,,,,-79.65699545
171,0.173,[OH-].[OH-].[OH-].[Cl-].[Cu+2].[Cu+2],,,,,,,,2.51192,,,,-93.11283799
172,2,C(#N)N=C(N)N,,,,,,,,-0.92316,,,,-316.6471684
173,2.25,O=C(OC(C)C)NC1=CC=C(OCC)C(OCC)=C1,,,,,,,,2.23835,,,,0.52047267
174,1.25,O=C(OC(C)C)NC1=CC=C(OCC)C(OCC)=C1,,,,,,,,0.654998,,,,90.84027737
175,0.043,CCOC(=O)CC(C(=O)OCC)SP(=O)(OC)OC,,,,,,,,0.654998,,,,-93.43509446
176,0.056,C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)C6=CC=CC=C6,,,,,,,,0.654998,,,,-91.45035557
177,2,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,,,,,,,,-0.653597,,,,-405.9989565
178,3,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,,,,,,,,-1.66222,,,,-280.4815247
179,3,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,,,,,,,,0.692773,,,,333.0422808
180,5,Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2,,,,,,,,0.730788,,,,584.1929534
181,2.15,C1=CC(=CC(=C1)OC2=C(C=CC=N2)C(=O)NC3=C(C=C(C=C3)F)F)C(F)(F)F,,,,,,,,0.730789,,,,194.2025674
182,0.524,CC1=C(C(=CC=C1)C)N(CCOC)C(=O)CCl,,,,,,,,-1.9088,,,,-127.4518022
183,1.908,O=C(CCl)N(C(C)COC)C1=C(C)SC=C1C,,,,,,,,-3.345,,,,-157.0403587
184,1.068,CC1=CSC(=C1N([C@@H](C)COC)C(=O)CCl)C,,,,,,,,1.27482,,,,-16.22346684
185,0.0105,CNC(=O)CSP(=S)(OC)OC,,,,,,,,-0.990934,,,,-101.0596064
186,0.342,S(C)SC,,,,,,,,2.08292,,,,-83.58074242
187,2,CC1=CC(=C(C=C1)C)OCC2=CC=CC=C2C(=NOC)C(=O)NC,,,,,,,,2.08292,,,,-3.98094982
188,2.15,CCCCCCC(C)C1=CC(=CC(=C1OC(=O)/C=C\C)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,0.626391,,,,243.2360937
189,2.25,N(c1ccccc1)c2ccccc2,,,,,,,,0.340929,,,,559.9614583
190,15,N(c1ccccc1)c2ccccc2,,,,,,,,1.28546,,,,1066.897453
191,0.071,[Br-].[Br-].c2cccc3c1[n+](cccc1)CC[n+]23,,,,,,,,0.784103,,,,-90.94506717
192,0.309,O=C1C2=C(SC(=C(S2)C#N)C#N)C(=O)c3ccccc13,,,,,,,,2.32524,,,,-86.71104918
193,2,ClC1=C(C=CC(=C1)NC(=O)N(C)C)Cl,,,,,,,,4.66253,,,,-57.10483364
194,0.857,CCCCCCCCCCCCNC(=N)N.CC(=O)O,,,,,,,,1.78561,,,,-52.0051971
195,2.05,CCCC/C=C/CCCCO,,,,,,,,0.975838,,,,110.0758528
196,0.037,CC(C)[C@@H]1[C@@H](C)C=C[C@]2(C[C@@H]3C[C@@H](C/C=C(\C)/[C@H]([C@@H](C)/C=C/C=C/4\CO[C@@H]5[C@@H](C(=C[C@@H](C(=O)O3)[C@]45O)C)O)O[C@H]3C[C@@H]([C@H]([C@H](C)O3)O[C@H]3C[C@@H]([C@H]([C@H](C)O3)NC)OC)OC)O2)O1,,,,,,,,1.56799,,,,-97.64029107
197,2,ClC3=C(C=CC=C3)C1OC(C4=CC=C(F)C=C4)1CN2N=CN=C2,,,,,,,,-4.63775,,,,-143.1243599
198,1.312,CC(C)C(C1=CC=C(C=C1)Cl)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,,,,,,,,4.82859,,,,-72.82850687
199,2.25,CCOC1=NC(=NC(=N1)NC)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC,,,,,,,,9.10354,,,,-75.28433994
200,0.4,C(CN)N,,,,,,,,2.80532,,,,-85.7413771
201,0.764,ClCCP(O)(=O)O,,,,,,,,-0.932529,,,,-181.927747
202,3,CCCCC1=C(NC(=NC1=O)NCC)C,,,,,,,,-0.932529,,,,-421.7058129
203,3.776,O=S(OC2=CC1=C(C=C2)OC(OCC)C(C)1C)(C)=O,,,,,,,,2.6591,,,,42.00293332
204,0.00604,O=P(SCCC)(OCC)SCCC,,,,,,,,9.68841,,,,-99.93765747
205,0.0329,O=P(SCCC)(OCC)SCCC,,,,,,,,3.18037,,,,-98.96552917
206,1.726,CCOc1ccc2NC(C)(C)C=C(C)c2c1,,,,,,,,3.18037,,,,-45.72958492
207,0.545,C1CNC(=S)N1,,,,,,,,-0.190647,,,,-385.8686473
208,5,CCOC1=CC=C(C=C1)C(C)(C)COCC2=CC(=CC=C2)OC3=CC=CC=C3,,,,,,,,-1.55453,,,,-421.6406245
209,0.63,CCOC1=CC=C(C=C1)C(C)(C)COCC2=CC(=CC=C2)OC3=CC=CC=C3,,,,,,,,-0.497742,,,,-226.5715973
210,2,FC2=C(C(F)=CC=C2)C1=NC(C3=C(OCC)C=C(C(C)(C)C)C=C3)CO1,,,,,,,,0.696438,,,,187.1755993
211,5,CCOc2cc(ccc2C(=O)NC(=O)c1c(F)cccc1F)C(C)(C)C,,,,,,,,0.844788,,,,491.8644678
212,5,CCOc2cc(ccc2C(N)COC(=O)c1c(F)cccc1F)C(C)(C)C,,,,,,,,0.844788,,,,491.8644678
213,0.56,ClC(Cl)(Cl)C1=NSC(OCC)=N1,,,,,,,,-0.108723,,,,-615.0704083
